127.0.0.1 - - [11/Oct/2023:16:39:03 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:30 -0500] "GET /ProyectoLP1/images/no-disponible.jpg HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:40:28 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:40:28 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:41:16 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:41:16 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:41:18 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:41:18 -0500] "GET /ProyectoLP1/images/icono_quickshop.png HTTP/1.1" 200 119613
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:41:19 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:41:19 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:42:06 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4985
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:42:07 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4985
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:42:11 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:42:40 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:42:40 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:43:10 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:43:10 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:43:28 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:01 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:07 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:10 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:10 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:12 -0500] "GET /ProyectoLP1/carrito.jsp HTTP/1.1" 200 4859
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:12 -0500] "GET /ProyectoLP1/cssssss/carritossssss.css HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:12 -0500] "GET /ProyectoLP1/javascript/carritos.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:21 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:21 -0500] "GET /ProyectoLP1/cssssss/pagoss.css HTTP/1.1" 200 13290
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:21 -0500] "GET /ProyectoLP1/javascript/pagossss.js HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:32 -0500] "GET /ProyectoLP1/carrito.jsp HTTP/1.1" 200 4859
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:39 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:53 -0500] "POST /ProyectoLP1/ServletPago HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:53 -0500] "GET /ProyectoLP1/cssssss/mensajePedidos.css HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:53 -0500] "GET /ProyectoLP1/javascript/mensajePedido.js HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:54 -0500] "GET /ProyectoLP1/listadoPedidos.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:55 -0500] "GET /ProyectoLP1/cssssss/listadoPedidos.css HTTP/1.1" 200 5881
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:44:55 -0500] "GET /ProyectoLP1/javascript/listadoPedidos.js HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:45:15 -0500] "GET /ProyectoLP1/actualizar.jsp HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:45:15 -0500] "GET /ProyectoLP1/cssssss/actualizarrr.css HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:45:15 -0500] "GET /ProyectoLP1/javascript/actualizar.js HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:45:19 -0500] "GET /ProyectoLP1/listadoPedidos.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:50:11 -0500] "GET /ProyectoLP1/actualizar.jsp HTTP/1.1" 200 3099
